index , Data Size, Comparisons
0, 1000, 8769.6
1, 2000, 19540.2
2, 3000, 30972.4
3, 4000, 43044.0
4, 5000, 55697.4
5, 6000, 67882.2
6, 7000, 80892.6
7, 8000, 94086.0
8, 9000, 107731.8
9, 10000, 121430.0
10, 20000, 263078.2
11, 30000, 409962.8
12, 40000, 566085.8
13, 50000, 718430.6
14, 60000, 879974.2
15, 70000, 1044433.2
16, 80000, 1212151.4
17, 90000, 1374129.8
18, 100000, 1536810.8
19, 200000, 3273479.8
20, 300000, 5112263.2
21, 400000, 6947135.8
22, 500000, 8863743.8
23, 600000, 10824658.2
24, 700000, 12770771.6
25, 800000, 14694397.2
26, 900000, 16706735.6
27, 1000000, 18728082.4
28, 2000000, 39455796.8
29, 3000000, 60901838.8
30, 4000000, 82910568.4
31, 5000000, 105553671.6
32, 6000000, 127802080.4
33, 7000000, 150625187.6
34, 8000000, 173820698.6
35, 9000000, 197350541.2
36, 10000000, 221107650.4